"ts|uid|id.orig_h|id.orig_p|id.resp_h|id.resp_p|proto|service|duration|orig_bytes|resp_bytes|conn_state|local_orig|local_resp|missed_bytes|history|orig_pkts|orig_ip_bytes|resp_pkts|resp_ip_bytes|tunnel_parents|label|detailed-label"
"1525879831.015811|CUmrqr4svHuSXJy5z7|192.168.100.103|51524|65.127.233.163|23|tcp|-|2.999051|0|0|S0|-|-|0|S|3|180|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879831.025055|CH98aB3s1kJeq6SFOc|192.168.100.103|56305|63.150.16.171|23|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879831.045045|C3GBTkINvXNjVGtN5|192.168.100.103|41101|111.40.23.49|23|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879832.016240|CDe43c1PtgynajGI6|192.168.100.103|60905|131.174.215.147|23|tcp|-|2.998796|0|0|S0|-|-|0|S|3|180|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879832.024985|CJaDcG3MZzvf1YVYI4|192.168.100.103|44301|91.42.47.63|23|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879832.044975|CMBrup3BLXivSp4Avc|192.168.100.103|50244|120.210.108.200|23|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879833.016171|CfHl9r3XMYtDQRrHnh|192.168.100.103|34243|147.7.65.203|49560|tcp|-|2.998804|0|0|S0|-|-|0|S|3|180|0|0|-|Benign|-"
"1525879833.044906|C7USrA15nFVkniMqC5|192.168.100.103|34840|145.164.35.6|21288|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Benign|-"
"1525879834.024847|CDtZ4so7bHKpIeCmi|192.168.100.103|58525|177.75.151.125|23|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879834.045086|Cj9lm7amKnWiNDh9c|192.168.100.103|43849|94.145.70.119|8080|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
"1525879836.044966|CgeVK21nm6PyVgJ4ah|192.168.100.103|40973|62.239.193.205|8080|tcp|-|-|-|-|S0|-|-|0|S|1|60|0|0|-|Malicious|PartOfAHorizontalPortScan"
